id,acronym,expansion
3136,wru,where are you
3137,wrud,what are you doing
3138,wruta,what are you talking about
3139,wryd,what are you doing
3140,wryta,what are you talking about
3141,wsic,why should i care
3142,wsm,woman seeking man
3143,wsp,what is up
3144,wss,why so serious
3145,wst,we are still friends
3146,wsul,will see you later
3147,wswta,what shall we talk about
3148,wt,"what the  or who the "
3149,wta,winner takes all
3150,wtb,want to buy
3151,wtbs,with that being said
3152,wtc,world trade center what the crap
3153,wtd,what the deuce
3154,wtdt,what to do today
3155,wtdta,where they do that at
3156,wtft,"what the french toast "
3157,wtg,way to go
3158,wtgp,way to go partner
3159,wtgp,want to go private
3160,wth,what or where or who the hell
3161,wthay,who the hell are you
3162,wthc,who the hell cares
3163,wthigo,what the hell is going on
3164,wthit,what the hell is that
3165,wthiwwy,what the hell is wrong with you
3166,wthn,why the heck not
3167,wthru,who the hell are you
3168,wtii,what time is it
3169,wtk,want to know
3170,wtl,will talk later
3171,wtlw,welcome to last week
3172,wtm,what is the matter
3173,wtmi,way too much information
3174,wtml,welcome to my life
3175,wtmw,welcome to my world
3176,wto,world trade organization
3177,wtp,what is the point
3178,wtt,want to trade
3179,wttc,welcome to the club
3180,wttir,when the time is right
3181,wttj,welcome to the jungle
3182,wttm,without thinking too much
3183,wtw,walk through walls  walk this way
3184,wty,why thank you
3185,wtyo,whatever turns you on
3186,wuciwug,what you see is what you get
3187,wud,what you doing
3188,wuf,where are you from
3189,wug,what you got where you going
3190,wugowm,will you go out with me
3191,wul,watched user list
3192,wula,what are you looking at
3193,wullnp,wishing you long life and prosperity
3194,wum,woman wind up merchant
3195,wuw,what you want
3196,wuwcb,what do you want to chat about
3197,wuwh,wish you were here
3198,wuwt,what is up with that
3199,wuwta,what you want to talk about
3200,wuwtb,what you want to talk bout
3201,wuwu,what is up with you
3202,ww,white widow  white woman
3203,wwa,wiggers with attitude
3204,wwbd,what would batman do
3205,wwcnd,what would chuck norris do
3206,wwe,world wrestling entertainment
3207,wwf,"world wildlife fund world wrestling federation "
3208,wwic,why would i care
3209,wwit,what was i thinking
3210,wwjbd,what would jason bourne do
3211,wwjd,what would jesus do
3212,wwjp,what would jesus post
3213,wwotw,wicked witch of the west
3214,wwtbam,who wants to be a millionaire
3215,wwu,where were you
3216,www,world wide web
3217,wwwy,what is wrong with you
3218,wwy,where were you
3219,wwyd,what would you do
3220,wwydt,why would you do that
3221,wya,where you at
3222,wyatb,wish you all the best
3223,wyb,watch your back
3224,wybd,what have you been doing
3225,wybmv,will you be my valentine
3226,wycm,will you call me
3227,wyd,what you doing
3228,wydn,what you doing now
3229,wyf,"what is your favorite "
3230,wyg,what you get
3231,wygowm,will you go out with me
3232,wyk,would you kindly
3233,wyl,whatever you like
3234,wylaboctgwtr,would you like a bowl of cream to go with that remark
3235,wylasomwtc,would you like a saucer of milk with that comment
3236,wylion,whether you like it or not
3237,wylscwtw,would you like some cheese with that whine
3238,wylt,what you listening to
3239,wym,watch your mouth what you mean
3240,wymm,will you marry me
3241,wyn,what is your name
3242,wyp,what is your problem what is your point
3243,wyr,would you rather
3244,wys,what you said
3245,wysiwyg,what you see is what you get
3246,wyta,what you talking about
3247,wyut,what you up to
3248,wyw,whatever you want
3249,wywh,wish you were here
3250,wywta,what you want to talk about
3251,yagb,"you are not grizz baby "
3252,yala,you always live again
3253,yana,you are not alone
3254,yatb,you are the best
3255,yatk,you are too kind
3256,yatloml,you are the love of my life
3257,yavw,you are very welcome
3258,yaw,you are welcome
3259,ybs,you will be sorry
3260,ybtj,you be the judge
3261,ybw,you have been warned
3262,ybwm,you belong with me
3263,ycmiu,you could not make it up
3264,ycmu,you crack me up
3265,ydek,you do not even know
3266,ydi,you deserve it
3267,ydk,you do not know
3268,ydl,yellow dog linux
3269,ydms,you do not make sense
3270,ydmt,you do not mean that
3271,yds,you do not say
3272,ydu,you do not understand
3273,yf,your friend
3274,yfw,"your face when "
3275,yg,young gangster
3276,ygg,you go girl
3277,ygi,you got it
3278,yglt,you are going to love this
3279,ygm,you get me you have got mail
3280,ygpm,you have got private message
3281,ygtbk,you have got to be kidding
3282,ygtbkm,you have got to be kidding me
3283,ygti,you get the idea
3284,ygtr,you got that right
3285,yha,youth hostel association
3286,yhbt,you have been trolled
3287,yhbw,you have been warned
3288,yhgasp,you have got a serious problem
3289,yhl,you have lost
3290,yhm,you have mail
3291,yhni,you have no idea
3292,yhtbt,you had to be there
3293,yid,yes i do
3294,yik,yes i know
3295,yitb,yours in the bond
3296,yite,are you all right
3297,yjltg,you just lost the game
3298,yk,you are kidding
3299,ykhii,you know how it is
3300,ykims,you know it makes sense
3301,yktr,you know the rest
3302,ykw,you know who
3303,ykwim,you know what i mean
3304,ykwis,you know what i am saying
3305,ykylm,you know you love me
3306,yl,young lady
3307,yli,you love it
3308,ylm,you love me
3309,ylod,yellow light of death
3310,ylyl,you laugh you lose
3311,ym,yahoo messenger your mom
3312,ymbj,you must be joking
3313,ymca,young mens christian association
3314,ymcmb,young money cash money billionaires
3315,ymmd,you made my day
3316,ymml,you make me laugh
3317,ymms,you make me smile
3318,ymmv,your mileage may vary
3319,ymw,you are most welcome
3320,ynk,you never know
3321,ynw,you are not welcome
3322,ynwa,you will never walk alone
3323,yolf,you only live forever
3324,yolo,you only live once
3325,yomb,you owe me big
3326,yoyo,you are on your own
3327,yp,your problem yes please
3328,yqw,you are quite welcome
3329,yr,yea right
3330,yrg,you are good
3331,yrmv,your results may vary
3332,yro,your rights online
3333,yru,why are you
3334,ysc,your so cute
3335,ysi,you stupid idiot
3336,ysk,you should know
3337,ysmtu,you so made that up
3338,yss,you suck severely
3339,ysvw,you are so very welcome
3340,ysyl,you snooze you loose
3341,yt,"you think "
3342,ytb,you are the best
3343,ytd,year to date
3344,ytm,you are the man
3345,ytml,you will thank me later
3346,ytmnd,"you are the man now dog "
3347,yto,you are the one
3348,ytp,youtube poop
3349,yttm,you talk too much you talking to me
3350,yum,said when something tastes good or is attractive
3351,yvw,you are very welcome
3352,yw,you are welcome
3353,ywca,young womens christian association
3354,ywimc,your wish is my command
3355,ywsyls,you win some you lose some
3356,ywu,yo waz up
